作品名称：【栗老师】相见恨晚的大圆脸发型教程  超遮脸看起来能显瘦20斤  抛弃tony老师自己搞定吧
网址：https://www.bilibili.com/video/av26492782
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
71.497         1531149996.0    是我是我是我！
71.909         1531261893.0    脸好看怎样都好看
72.242         1531254841.0    是我本人了
72.941         1531154299.0    up主眼睛大啊
73.099         1531186164.0    间封滚，路转粉
73.39          1531299793.0    五官好看
73.442         1531201130.0    哦，我看错了，我是尖下巴的，下巴不同款
73.867         1531192374.0    同款脸
74.0           1531154341.0    同款脸型
74.413         1531250269.0    眼睛好大
74.421         1531388104.0    但是你眼睛好大
74.96          1531303802.0    是我！
76.991         1531200964.0    同款脸型
77.175         1531299150.0    可是眼睛大鼻子挺
77.928         1531290606.0    同款脸型啊
79.211         1531293862.0    我是长圆
80.135         1531284751.0    但我没有UP那么好看
80.334         1531198586.0    栗老师瘦了
82.14          1531312059.0    相见恨晚
82.881         1531302064.0    好皮
83.121         1531316013.0    主要还是要五官好看
83.175         1531230232.0    左眼小右眼大  我也是 不过差的不多哈哈
83.58          1531196859.0    大小眼？？
83.713         1531294505.0    像我，脸又大，眼睛还小是不是没得救了……
84.04          1531201715.0    两只眼睛不一样大
84.069         1531147690.0    真的哎
84.098         1531152301.0    脸小了好好看
84.728         1531282115.0    我觉得额这个眼睛就好好看了啊
85.473         1531297835.0    同款
85.504         1531284609.0    好可爱的小姐姐
86.683         1531319304.0    哈哈，可爱
86.698         1531306882.0    啊还有啊，啊，这个，啊
88.101         1531300275.0    超级可爱
88.478         1531265669.0    右眼大于左眼？
88.561         1531147680.0    栗子太棒了
88.763         1531153987.0    是哦
88.795         1531315120.0    我一个男生扎进女人堆了吗
89.31          1531353133.0    和我一样样，就是我颧骨还高
89.75          1531321192.0    男生怎么搞
90.227         1531188645.0    你发际线没我高
90.397         1531178704.0    脸又长又方，哭了
90.73          1531273322.0    up语气好可爱啊 “那个短脸女孩啊 千万不要尝试厚刘海啊”
90.969         1531199121.0    可爱！
91.662         1531229890.0    没下巴
93.539         1531298662.0    觉得圆脸的小姐姐都很可爱的唉
93.558         1531219669.0    求安利剪刀型号(:3_ヽ)_
93.57          1531192393.0    眼睛没有up大
93.654         1531187041.0    眼睛一个大一个小
93.863         1531164318.0    你也太可爱了吧
94.973         1531313621.0    可爱
95.007         1531297175.0    又长又方又大
95.025         1531221467.0    除了我的脑门比阿婆窄，如果我瘦下来就是一样的脸型了
95.398         1531187428.0    你不喜欢，有人喜欢啊，比如我嘻嘻，没有人会被所有人喜欢的，做自己就好啊up主!
95.488         1531302476.0    哇好看
96.867         1531305587.0    多年经验告诉我 如果鼻子嘴巴下巴不如眼睛好看 千万不要尝试厚刘海
96.9           1531229908.0    脸还不可爱的我
97.721         1531391623.0    up目测上海人
97.786         1531291384.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈up讲话好好玩
97.865         1531153933.0    讲话好像老师啊
97.944         1531153254.0    一说话就破功
97.95          1531164528.0    拉宏桑
98.351         1531373878.0    南方人吗？好可爱
99.831         1531306305.0    可是up主眼睛大呀 
100.14         1531195848.0    这不就是我吗！常年自己剪刘海，发际线还有点太靠前了真是令人绝望
100.5          1531297605.0    笑死
100.86         1531369136.0    真的听不懂人话，哭唧唧
100.96         1531302434.0    哈哈哈up好可爱
101.034        1531213422.0    好多人说大小眼 大概是真的都不知道人的脸是没有绝对对称的吧
101.228        1531299193.0    不懂为什么感觉语调有点像王尼玛哈哈哈哈哈哈(bushihei
101.29         1531253444.0    哈哈哈哈哈哈
101.317        1531199370.0    啊啊啊啊up好好看
101.851        1531308709.0    啊
102.48         1531196050.0    啊 啊 啊 哈哈哈哈
102.955        1531307750.0    你看这个脸它又长又宽
103.423        1531149438.0    眼睛好大啊
103.509        1531300531.0    我也是南宁的！！！！
103.541        1531192919.0    偷你老师
